file,lines,characters,keywords_found,preview,topic
Seerah of Prophet Muhammed 33 - The Treaty & Constitution of Madinah - Yasir Qadhi ｜ May 2012.txt,1482,97704,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] We had discussed the Prophet's building of the Masjid of the Prophet, the Masjid of Quba,
 [00:00:24] and we had discussed other incidents that occurred in the early months of his immigration.
 [00:00:28] The next major story, which is going to be the topic of today's halaqah, the next major
 [00:00:33] incident of the early Madani period is the Treaty of Madinah.
 [00:00:39] The Treaty of Madinah.
 [00:00:41] And the Treaty of Madinah is very significant and it's also a little bit controversial.
 [00:00:46] People have interpreted it in many different ways.
 [00:00:48] So what exactly is this treaty and who mentions it?
 [00:00:51] One of the problems that we have about this treaty is that it doesn't seem to be mentioned
 [00:00:57] in every single reference book.",Tafsir / Quran
Seerah of Prophet Muhammed 41 - The Battle of Badr 6 - Yasir Qadhi ｜ 14th November 2012.txt,1488,96325,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:22] So we are now doing, I think the sixth lesson of Badr, correct?
 [00:00:32] This is the seventh?
 [00:00:34] Sixth.
 [00:00:35] It's the sixth of Badr.
 [00:00:36] And we still have probably another two to go.
 [00:00:41] So we're doing this in quite a lot of detail.
 [00:00:42] I thought I would finish by today, but it looks like there's still quite a lot left
 [00:00:45] and then we want to do Surah Anfal.
 [00:00:47] So maybe even three from today we have left for Badr.",Tafsir / Quran
Seerah of Prophet Muhammed 31 - Building of the first Mosques in Islam - Yasir Qadhi ｜ April 2012.txt,1372,78282,"ayah, battle, bukhari, hadith, muslim, prophet, surah, tafsir, translation","[00:00:00] We're still talking about the first few days of the Prophet's arrival in Madinah, and today
 [00:00:25] we're going to talk about the two masjids that he built in a little bit more detail
 [00:00:28] and some of the benefits we can derive from them and the very first Salatul Jumu'ah and
 [00:00:33] other things that happened in the very first few days.
 [00:00:36] We already mentioned that there's a controversy over when exactly the Prophet's arrival in
 [00:00:40] Madinah, and the fact of the matter is we do not know the date with precision for one
 [00:00:45] simple reason.
 [00:00:47] People did not concern themselves with dates that much.
 [00:00:50] It was a very different time and place, and the importance of what exact date it happened
 [00:00:55] on was not that important.",Tafsir / Quran
Seerah of Prophet Muhammed 7 - The early childhood of Prophet Muhammed - Yasir Qadhi ｜ June 2011.txt,1524,91406,"ayah, battle, bukhari, hadith, khilafah, muslim, prophet, surah, tafsir, urdu","[00:00:00] Prophet Muhammad sallallahu alayhi wasallam and in our last
 [00:00:08] halaqah we had mentioned the birth of the Prophet sallallahu alayhi wasallam
 [00:00:12] and the details that we know regarding that period of his life.
 [00:00:16] We now move on to the period of his life that is his early childhood.
 [00:00:21] That is him growing up as a young child.
 [00:00:25] And the fact of the matter is that we have very very little information
 [00:00:29] with regards to these first 20, 30, even 40 years.
 [00:00:33] And as I said in the last halaqah that if we were to gather together
 [00:00:37] the entire 53 years of Makkah of the Prophet sallallahu alayhi wasallam
 [00:00:41] it would be less than half of the next 10 years that we have information of",Tafsir / Quran
Seerah of Prophet Muhammed 43 - Events between Badr & Uhud - Yasir Qadhi ｜ 5th December 2012.txt,1202,87266,"ayah, battle, bukhari, hadith, muslim, prophet, surah, tafsir, translation","[00:00:30] So Alhamdulillah we have spent 6 or 7 lessons on the battle of Badr and we discussed the
 [00:00:46] battle of Badr thoroughly.
 [00:00:47] So now we are going to move on to what happens between Badr and Uhud.
 [00:00:52] And the first incident that occurs or that is mentioned is a very interesting one and
 [00:00:57] it's an aftermath of the battle of Badr.
 [00:00:59] It's something that's linked to the battle of Badr.
 [00:01:03] And this is one of the most interesting assassination attempts upon the life of the Prophet Sallallahu
 [00:01:08] alaihi wasallam.
 [00:01:09] Now what happened was as Ibn Hisham gives the whole story in detail that after the battle
 [00:01:14] of Badr Safwan Ibn Umayyah, pause here pop quiz, who's Safwan Ibn Umayyah?",Tafsir / Quran
Seerah of Prophet Muhammed 32 - The People of As-Suffa - Yasir Qadhi ｜ April 2012.txt,1297,83004,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] We are still talking about the incidents that happened right after the emigration of the
 [00:00:22] Prophet ﷺ.
 [00:00:24] And before we move on, there's an interesting anecdote or an interesting important milestone
 [00:00:31] in our history that is not related directly to the incidents of the Hijra, but it is very
 [00:00:37] important for our history and that is the establishment of the calendar based upon the
 [00:00:42] Hijra.
 [00:00:43] This establishment of the calendar of course didn't take place right now.
 [00:00:45] It took place a decade and a half later.
 [00:00:48] But because it deals with the Hijra, I thought I'd just mention it two, three minutes and
 [00:00:52] on because we're talking about the Hijra, we're talking about the importance of the Hijra.",Tafsir / Quran
Seerah of Prophet Muhammed 44 - Assassination of Ka_b ibn al-Ashraf - Yasir Qadhi ｜ 12th Dec 2012.txt,957,70027,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] So, inshaAllah this will be the last seerah for the next session.
 [00:00:31] We're going to finish off by talking about the major incidents that occurred before the battle of Uhud.
 [00:00:38] And today is a very controversial topic, so pay attention and take good notes.
 [00:00:44] Before we get to the controversial topic, let's begin with some of the more smaller incidents.
 [00:00:48] So between the battle of Badr and Uhud, a number of small expeditions took place.
 [00:00:55] And they are not very important in the large scale of things, but each one of them had its own, if you like, reasons and issues and benefits for it.
 [00:01:04] And the first of these issues, the first of these incidents, it is called, it's a very difficult title,
 [00:01:10] Qarqaratul Qudr, Qarqaratul Qudr, after the place where it took place, it was called Qarqaratul Qudr.
 [00:01:16] And what happened was that some of the neighboring mushrikeen tribes of Madinah,
 [00:01:21] they wanted to take revenge on the Muslims because their business had been cut off.",Tafsir / Quran
Seerah of Prophet Muhammed 8 - The early manhood of Prophet Muhammed - Yasir Qadhi ｜ September 2011.txt,1556,89067,"battle, bukhari, hadith, muslim, prophet","[00:00:00] Inna alhamdulillahi nahnmaduhu wa nastainuhu wa nastaghfiruhu wa naAAuthu billahi min shuruhi
 [00:00:15] anfusinaa wa min sayyaaati a'maalinaa.
 [00:00:18] May yahdihi Allaho fala mudilla laho wa may yudlilho fala hadiyya laho.
 [00:00:23] Wa ash-hadu an la ilaha illa Allaho wahdahu la sharika laho.
 [00:00:27] Wa ash-hadu anna Muhammadan abiduhu wa rasuluhu.
 [00:00:30] Amma ba'd.
 [00:00:31] We thank Allah subhanahu wa ta'ala and we praise him for all that he has blessed us with.
 [00:00:37] And as we come here today to resume our class after an interlude of around six weeks or seven weeks
 [00:00:44] because of the blessed month of Ramadan, all of us subhanAllah we feel a sense of post Ramadan if you like depression.
 [00:00:52] All of us we feel a sense of emptiness especially when Ramadan finished.",Hadith / Sunnah
Seerah of Prophet Muhammed 42 - The Battle of Badr 7 - Yasir Qadhi ｜ 28th November 2012.txt,2120,107483,"ayah, battle, bukhari, hadith, muslim, prophet, surah, tafsir, translation","[00:00:00] The very last incident we talked about was, was what? Who can remind me?
 [00:00:26] I went into this whole tangent of Indian Islam, the Habarid dynasty, right?
 [00:00:30] And we had talked about how interesting and unique and strange it is that here is one person who actually caused a miscarriage to the grandson of the Prophet ﷺ
 [00:00:39] and yet Allah had written that his progeny would have great izzah and honor in Islam
 [00:00:45] and he was one of the found... actually is named after him, the Habarids are named after this very person, Habar,
 [00:00:51] that he had an entire dynasty in what is now Pakistan for over a hundred, a hundred and thirty years or so.
 [00:00:58] In any case, getting back to the story of Badr.
 [00:01:01] Now, we talked about the process of his return, we talked about the prisoners of war.
 [00:01:05] What happened in Mecca?
 [00:01:07] In Mecca, Ibn Kathir narrates, Ibn Kathir tells us some incidents that happened in Mecca.",Tafsir / Quran
Seerah of Prophet Muhammed 36 - The Battle of Badr 1 - Yasir Qadhi ｜ 10th October 2012.txt,1859,105331,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:07] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:10] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:13] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:16] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:20] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:23] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:26] We thank Allah Azza wa Jalla for this wonderful event.
 [00:00:29] We thank Allah Azza wa Jalla for the opportunity to gather once again after our break,
 [00:00:33] after our hiatus for around two and a half months.",Tafsir / Quran
